

平成17年度,国民医療費,,

第　１表　国民医療費、一人当たり国民医療費及び対国民所得比率の年次推移

注:1) 国民所得は、内閣府発表の「国民経済計算」（平成19年6月発表）による。
   2) 総人口は、総務省統計局による「推計人口」（10月1日現在人口）であり、*印は「国勢調査」の確定人口である。
   3) 平成12年4月から介護保険制度が施行されたことに伴い、従来国民医療費の対象となっていた費用のうち、
　　介護保険の費用に移行したものがあるが、これらは平成12年度以降、国民医療費に含まれていない。
   4) 平成8年度から平成14年度の数値は、患者負担分推計額を訂正したため、各年度の報告書に掲載されているものと異なる。

年　　　次   ,国民医療費,,一人当たり,国民医療費の,国　民　所　得,,,
,総　額,増減率,国民医療費,国民所得に,,増減率,総人口 ,
,　　　　,　　　,,対する比率,,　　　,,
,（億円）,（％）,(千円),（％） ,（億円）,（％）,(千人),

昭和29年度(1954),"2,152",･･･ ,2.4,･･･ ,･･･ ,･･･ ,"88,239", 
    30    ('55),"2,388",11,2.7,3.42,"69,733",･･･ ,"89,276",*
    31    ('56),"2,583",8.2,2.9,3.27,"78,963",13.2,"90,172", 
    32    ('57),"2,897",12.2,3.2,3.27,"88,681",12.3,"90,928", 
    33    ('58),"3,230",11.5,3.5,3.44,"93,829",5.8,"91,767", 
,,,,,,,,
    34    ('59),"3,625",12.2,3.9,3.28,"110,421",17.7,"92,641", 
    35    ('60),"4,095",13,4.4,3.03,"134,967",22.2,"93,419",*
    36    ('61),"5,130",25.3,5.4,3.19,"160,819",19.2,"94,287", 
    37    ('62),"6,132",19.5,6.4,3.43,"178,933",11.3,"95,181", 
    38    ('63),"7,541",23,7.8,3.57,"210,993",17.9,"96,156", 
,,,,,,,,
    39    ('64),"9,389",24.5,9.7,3.9,"240,514",14,"97,182", 
    40    ('65),"11,224",19.5,11.4,4.18,"268,270",11.5,"98,275",*
    41    ('66),"13,002",15.8,13.1,4.11,"316,448",18,"99,036", 
    42    ('67),"15,116",16.3,15.1,4.03,"375,476",18.7,"100,196", 
    43    ('68),"18,016",19.2,17.8,4.12,"437,209",16.4,"101,331", 
,,,,,,,,
    44    ('69),"20,780",15.3,20.3,3.99,"521,178",19.2,"102,536", 
    45    ('70),"24,962",20.1,24.1,4.09,"610,297",17.1,"103,720",*
    46    ('71),"27,250",9.2,25.9,4.13,"659,105",8,"105,145", 
    47    ('72),"33,994",24.7,31.6,4.36,"779,369",18.2,"107,595", 
    48    ('73),"39,496",16.2,36.2,4.12,"958,396",23,"109,104", 
,,,,,,,,
    49    ('74),"53,786",36.2,48.6,4.78,"1,124,716",17.4,"110,573", 
    50    ('75),"64,779",20.4,57.9,5.22,"1,239,907",10.2,"111,940",*
    51    ('76),"76,684",18.4,67.8,5.46,"1,403,972",13.2,"113,089", 
    52    ('77),"85,686",11.7,75.1,5.5,"1,557,032",10.9,"114,154", 
    53    ('78),"100,042",16.8,86.9,5.82,"1,717,785",10.3,"115,174", 
,,,,,,,,
    54    ('79),"109,510",9.5,94.3,6.01,"1,822,066",6.1,"116,133", 
    55    ('80),"119,805",9.4,102.3,5.89,"2,032,410",11.5,"117,060",*
    56    ('81),"128,709",7.4,109.2,6.07,"2,118,783",4.2,"117,884", 
    57    ('82),"138,659",7.7,116.8,6.3,"2,200,091",3.8,"118,693", 
    58    ('83),"145,438",4.9,121.7,6.29,"2,312,854",5.1,"119,483", 
,,,,,,,,
    59    ('84),"150,932",3.8,125.5,6.21,"2,431,547",5.5,"120,235", 
    60    ('85),"160,159",6.1,132.3,6.13,"2,610,890",7.4,"121,049",*
    61    ('86),"170,690",6.6,140.3,6.37,"2,680,934",2.7,"121,672", 
    62    ('87),"180,759",5.9,147.8,6.41,"2,818,190",5.1,"122,264", 
    63    ('88),"187,554",3.8,152.8,6.17,"3,039,679",7.9,"122,783", 
,,,,,,,,
平成元年度('89),"197,290",5.2,160.1,6.12,"3,222,073",6,"123,255", 
    ２  　('90),"206,074",4.5,166.7,5.92,"3,483,454",8.1,"123,611",*
    ３    ('91),"218,260",5.9,176,5.88,"3,710,808",6.5,"124,043", 
    ４　  ('92),"234,784",7.6,188.7,6.36,"3,693,236",△ 0.5,"124,452", 
    ５  　('93),"243,631",3.8,195.3,6.6,"3,690,327",△ 0.1,"124,764", 
,,,,,,,,
    ６　  ('94),"257,908",5.9,206.3,6.89,"3,740,795",1.4,"125,034", 
    ７　  ('95),"269,577",4.5,214.7,7.2,"3,742,775",0.1,"125,570",*
    ８  　('96),"284,542",5.6,226.1,7.48,"3,806,211",1.7,"125,864",
    ９  　('97),"289,149",1.6,229.2,7.57,"3,819,989",0.4,"126,166",
    10  　('98),"295,823",2.3,233.9,8.02,"3,689,215",△ 3.4,"126,486",
,,,,,,,,
    11    ('99),"307,019",3.8,242.3,8.43,"3,643,409",△ 1.2,"126,686",
    12   (2000),"301,418",△ 1.8,237.5,8.11,"3,718,039",2,"126,926",*
    13    ('01),"310,998",3.2,244.3,8.61,"3,613,335",△ 2.8,"127,291",
    14    ('02),"309,507",△ 0.5,242.9,8.7,"3,557,610",△ 1.5,"127,435",
    15    ('03),"315,375",1.9,247.1,8.81,"3,580,792",0.7,"127,619",
,,,,,,,,
    16    ('04),"321,111",1.8,251.5,8.85,"3,629,009",1.3,"127,687",
    17    ('05),"331,289",3.2,259.3,9.01,"3,676,303",1.3,"127,768",*

